semana,cuadrante_id,temperatura_media,humedad_media,precipitacion_suma,n_alertas,alerta_observada,perdida_ha
2023-08-01/2023-08-07,Q001,26.51607142857143,,0.0,,False,0.0
2023-08-08/2023-08-14,Q001,24.34191616766467,86.35135135135135,0.2,,False,0.0
2023-08-15/2023-08-21,Q001,26.57619047619048,82.29166666666667,0.0,,False,0.0
2023-08-22/2023-08-28,Q001,26.95892857142857,79.77380952380952,0.4,,False,0.0
2023-08-29/2023-09-04,Q001,27.13511904761905,81.95238095238095,40.4,,False,0.0
2023-09-05/2023-09-11,Q001,27.161309523809525,84.53571428571429,0.0,,False,0.0
2023-09-12/2023-09-18,Q001,26.133928571428573,81.14285714285714,55.8,,False,0.0
2023-09-19/2023-09-25,Q001,28.28802395209581,82.1556886227545,17.4,,False,0.0
2023-09-26/2023-10-02,Q001,27.54191616766467,84.22754491017965,69.4,,False,0.0
2023-10-03/2023-10-09,Q001,28.02994011976048,84.74850299401197,9.0,,False,0.0
2023-10-10/2023-10-16,Q001,27.18988095238095,83.625,14.8,,False,0.0
2023-10-17/2023-10-23,Q001,28.99404761904762,76.83928571428571,0.0,,False,0.0
2023-10-24/2023-10-30,Q001,27.46130952380953,87.02380952380952,154.8,,False,0.0
2023-10-31/2023-11-06,Q001,25.984939759036145,85.6219512195122,1.2,,False,0.0
2023-11-07/2023-11-13,Q001,28.416666666666668,82.60714285714286,17.0,,False,0.0
2023-11-14/2023-11-20,Q001,27.61616766467065,88.16766467065868,66.0,,False,0.0
2023-11-21/2023-11-27,Q001,25.2437125748503,93.20958083832336,123.0,,False,0.0
2023-11-28/2023-12-04,Q001,25.12215568862275,93.82035928143712,89.4,,False,0.0
2023-12-05/2023-12-11,Q001,26.02934131736527,89.7065868263473,89.60000000000001,,False,0.0
2023-12-12/2023-12-18,Q001,26.507142857142856,90.37724550898204,41.4,,False,0.0
2023-12-19/2023-12-25,Q001,27.634523809523813,89.9702380952381,14.0,,False,0.0
2023-12-26/2024-01-01,Q001,26.734939759036145,91.52727272727272,138.2,,False,0.0
2024-01-02/2024-01-08,Q001,27.09702380952381,91.86904761904762,63.2,,False,0.0
2024-01-09/2024-01-15,Q001,26.872891566265057,91.67272727272729,130.4,,False,0.0
2024-01-16/2024-01-22,Q001,27.145180722891567,89.1556886227545,7.800000000000001,,False,0.0
2024-01-23/2024-01-29,Q001,26.281437125748504,92.0119760479042,129.4,,False,0.0
2024-01-30/2024-02-05,Q001,27.513253012048192,88.29518072289157,36.0,,False,0.0
2024-02-06/2024-02-12,Q001,27.27757575757576,89.16969696969697,91.0,,False,0.0
2024-02-13/2024-02-19,Q001,26.589221556886223,91.92814371257484,83.2,,False,0.0
2024-02-20/2024-02-26,Q001,24.72934131736527,96.53293413173652,367.8,,False,0.0
2024-02-27/2024-03-04,Q001,26.84491017964072,90.79041916167664,13.4,,False,0.0
2024-03-05/2024-03-11,Q001,27.36369047619048,89.64880952380952,20.0,,False,0.0
2024-03-12/2024-03-18,Q001,27.851190476190474,89.30952380952381,108.8,,False,0.0
2024-03-19/2024-03-25,Q001,26.35535714285714,91.89285714285714,164.8,,False,0.0
2024-03-26/2024-04-01,Q001,26.986904761904764,90.70238095238096,70.60000000000001,,False,0.0
2024-04-02/2024-04-08,Q001,27.94761904761905,89.72619047619048,13.0,,False,0.0
2024-04-09/2024-04-15,Q001,27.535714285714285,91.99404761904762,43.0,,False,0.0
2024-04-16/2024-04-22,Q001,26.985714285714288,89.19047619047619,14.8,,False,0.0
2024-04-23/2024-04-29,Q001,27.91428571428572,91.0654761904762,53.8,,False,0.0
2024-04-30/2024-05-06,Q001,26.7875,93.41071428571428,74.2,,False,0.0
2024-05-07/2024-05-13,Q001,27.074404761904763,93.04761904761904,36.0,,False,0.0
2024-05-14/2024-05-20,Q001,21.536309523809525,90.61309523809524,31.8,,False,0.0
2024-05-21/2024-05-27,Q001,22.35654761904762,86.82142857142857,0.0,,False,0.0
2024-05-28/2024-06-03,Q001,20.952380952380956,86.29166666666667,0.0,,False,0.0
2024-06-04/2024-06-10,Q001,24.748214285714283,85.98214285714286,0.0,,False,0.0
2024-06-11/2024-06-17,Q001,24.853571428571428,95.1845238095238,142.8,,False,0.0
2024-06-18/2024-06-24,Q001,26.154166666666665,91.39285714285714,3.8,,False,0.0
2024-06-25/2024-07-01,Q001,22.370238095238093,93.20833333333331,16.2,,False,0.0
2024-07-02/2024-07-08,Q001,23.11309523809524,90.85714285714286,21.2,,False,0.0
2024-07-09/2024-07-15,Q001,16.198809523809523,90.03571428571429,21.8,,False,0.0
2024-07-16/2024-07-22,Q001,22.01309523809524,84.5952380952381,0.0,,False,0.0
2024-07-23/2024-07-29,Q001,25.21976047904192,90.58083832335328,0.8,,False,0.0
2024-07-30/2024-08-05,Q001,25.154166666666665,89.61309523809524,2.2,,False,0.0
2024-08-06/2024-08-12,Q001,21.45892857142857,89.29166666666667,21.8,,False,0.0
2024-08-13/2024-08-19,Q001,24.491666666666667,85.94642857142857,0.0,,False,0.0
2024-08-20/2024-08-26,Q001,24.446428571428573,86.8452380952381,20.0,,False,0.0
2024-08-27/2024-09-02,Q001,23.967261904761905,87.32142857142857,0.0,,False,0.0
2024-09-03/2024-09-09,Q001,25.81309523809524,88.00595238095238,0.0,,False,0.0
2024-09-10/2024-09-16,Q001,26.81011904761905,86.99404761904762,49.0,,False,0.0
2024-09-17/2024-09-23,Q001,27.847619047619045,84.36904761904762,0.0,,False,0.0
2024-09-24/2024-09-30,Q001,27.526190476190475,81.71428571428571,0.0,,False,0.0
2024-10-01/2024-10-07,Q001,28.757738095238096,78.63690476190476,0.0,,False,0.0
2024-10-08/2024-10-14,Q001,26.705357142857142,85.75,51.2,,False,0.0
2024-10-15/2024-10-21,Q001,26.735119047619047,85.39285714285714,74.2,,False,0.0
2024-10-22/2024-10-28,Q001,26.19285714285714,85.77380952380952,11.0,,False,0.0
2024-10-29/2024-11-04,Q001,28.36845238095238,81.01785714285714,0.8,,False,0.0
2024-11-05/2024-11-11,Q001,26.69880239520958,89.53293413173652,99.0,,False,0.0
2024-11-12/2024-11-18,Q001,25.54670658682635,87.32934131736526,86.4,,False,0.0
2024-11-19/2024-11-25,Q001,25.568862275449103,92.62275449101796,186.0,,False,0.0
2024-11-26/2024-12-02,Q001,26.93452380952381,89.6547619047619,59.4,,False,0.0
2024-12-03/2024-12-09,Q001,25.37604790419162,94.2994011976048,129.0,,False,0.0
2024-12-10/2024-12-16,Q001,26.1,90.78443113772455,85.8,,False,0.0
2024-12-17/2024-12-23,Q001,25.74761904761905,91.5,41.0,,False,0.0
2024-12-24/2024-12-30,Q001,25.904166666666665,86.89880952380952,76.6,,False,0.0
2024-12-31/2025-01-06,Q001,25.87604790419162,92.4311377245509,227.0,,False,0.0
2025-01-07/2025-01-13,Q001,24.27409638554217,97.5030303030303,0.0,,False,0.0
2025-01-14/2025-01-20,Q001,25.37134146341463,93.85365853658536,0.0,,False,0.0
2025-01-21/2025-01-27,Q001,25.41137724550898,91.5843373493976,0.0,,False,0.0
2025-01-28/2025-02-03,Q001,26.21077844311377,91.32934131736526,0.0,,False,0.0
2025-02-04/2025-02-10,Q001,25.695808383233533,91.86826347305389,0.0,,False,0.0
2025-02-11/2025-02-17,Q001,25.07757575757576,94.25925925925924,0.0,,False,0.0
2025-02-18/2025-02-24,Q001,25.21736526946108,93.48192771084338,0.0,,False,0.0
2025-02-25/2025-03-03,Q001,25.558333333333334,93.6547619047619,28.2,,False,0.0
2025-03-04/2025-03-10,Q001,24.405952380952375,95.95209580838323,184.2,,False,0.0
